ID;Sentence;A.1);B.1);C.1);D.1);E.1);E.2);F.1);F.2);G.1);I.1);I.2);L.1);L.2);M.1);M.2);M.3);M.4);N.1);O.1);O.2);P.1)
31;Le aule per l’attività didattica andranno dimensionate e progettate utilizzando criteri di fruibilità e flessibilità d’uso e di gestione;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
32;Gli spazi andranno concepiti come ambienti polifunzionali in cui rispondere a esigenze anche contestuali, temporanee e mutabili nel breve e lungo periodo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
33;La proiezione degli ambienti verso l’esterno dovrà essere peculiare per favorire modalità formative all’aperto;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
34;È richiesto di progettare uno spazio verde non-strutturato, un verde naturale, adatto per il gioco libero e attività sportive all’aria aperta;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;Uno spazio comodo, accogliente, flessibile in funzione delle attività individuali e collettive;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
36;Il progetto dovrà essere sviluppato con particolare attenzione all’abbattimento delle barriere architettoniche;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
37;L’involucro dovrà assicurare elevati standard di prestazione energetica, nel comportamento invernale ed estivo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
38;Il complesso scolastico dovrà avere una forte relazione con il paesaggio naturale al contorno e dovrà prevedere l’implementazione del verde;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;Il verde dovrà essere un elemento costante e abitabile, dovrà collaborare alla creazione delle emozioni;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
40;L’organizzazione funzionale del nuovo edificio dovrà essere concepita prevedendo una flessibilità d’uso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
41;La progettazione sinergica di edilizia e impianti dovrà prevedere l’uso di materiali durevoli e di tecniche, che comportino una gestione semplice ed economica;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
42;Spazi interni ed esterni dovranno essere pensati unitariamente, in una logica di estrema flessibilità d’uso sia in relazione a specifiche finalità scolastiche sia in relazione agli usi extra-scolastici di parti e o spazi del campus;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0
43;Assicurare la permeabilità del terreno circostante, contenere il consumo del suolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
44;Attenuare l’impatto visivo del costruito;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;Una scuola in cui vengano favoriti i rapporti socio-affettivi tra bambini, bambine, insegnanti, genitori ed operatori scolastici;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
46;Alla diversificazione delle iniziative didattiche proposte deve corrispondere una molteplicità di opportunità negli spazi e negli ambienti educativi;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
47;L’edificio scolastico dovrà garantire la piena accessibilità, adeguatamente arredata e concepita perché funzioni da luogo di incontro tra la scuola ed il resto della cittadinanza;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
48;Gli spazi tematici che caratterizzeranno la scuola dovranno essere facilmente individuabili anche con l’ausilio di colorazioni diverse nelle pareti;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;Alcuni dei laboratori potranno essere messi a disposizione della collettività affinché sia rafforzata la percezione della scuola come civic center;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
50;Rafforzare e valorizzare il contatto con l’ambiente naturale;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
51;L’insieme degli interventi proposti mira a realizzare un Polo scolastico integrato, costituito da un unico complesso capace di ospitare, nelle diverse ore del giorno, le funzioni sia semplici che legate ad interventi diversificati;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
52;L'obiettivo è quello di creare ambienti di apprendimento nuovi ed innovativi, in cui il concetto tradizionale di classe risulti modificato e arricchito da dotazioni tecnologiche concepite in modo specifico per la didattica, in cui si sperimentino la trasformazione dei modelli e dell’organizzazione e l’utilizzo di nuovi contenuti, materiali e strumenti;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
53;La progettazione dovrà tenere conto sia delle dotazioni tecnologiche già presenti che dell’eventualità di dotare il plesso di ulteriori funzionalità e attrezzature informatiche che possano garantire un rinnovamento della dotazione tecnologica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
54;La nuova struttura dovrà essere progettata in modo adeguato al fine di minimizzare l’impronta e limitare il consumo di nuovi spazi, promuovendo la biodiversità;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
55;Il progettista dovrà trovare soluzioni che consentano di aprire la vista dalle aule verso gli ambienti esterni. Diverse esperienze hanno dimostrato che tale soluzione si dimostra particolarmente stimolante ed utile per i ragazzi e gli insegnanti;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
56;Potrà risultare utile un’adeguata scelta nel colore delle pareti, legata al tema dell’aula, che funga anche da orientamento per il riconoscimento dell’attività;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;Si ritiene pertanto che debba essere evitato quanto più possibile l’utilizzo della plastica e favorito l’uso di materiali naturali;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
58;L’ampio cortile, può costituire occasione per lo sviluppo del bambino attraverso il gioco e lo svago all’aria aperta in un ambiente che dovrà mantenere inalterata la propria vocazione naturale;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
59;Il cortile di scuola inteso non solo come luogo di sfogo e svago durante l'intervallo, ma anche spazio per attività didattiche, gioco, sport, punto d'incontro e ritrovo per genitori e bambini in occasione di varie iniziative e feste;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
60;L'accessibilità esprime il più alto livello di qualità dello spazio in quanto ne consente la totale fruizione nell'immediato;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
61;L'accessibilità deve essere garantita per quanto riguarda: gli spazi esterni nei quali il requisito si considera soddisfatto se esiste almeno un percorso agevolmente fruibile anche da parte di persone con ridotte o impedite capacità motorie o sensoriali;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
62;Massimizzare, per quanto possibile, l'illuminazione naturale degli ambienti, anche tramite la rimodulazione della distribuzione delle aule scolastiche in funzione dell'orientamento ottimale, consentendo inoltre un'adeguata percezione visiva dell'esterno e la massimizzazione degli apporti energetici gratuiti;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
63;Adottare adeguati criteri e sistemi di illuminazione artificiale al fine di massimizzare il comfort visivo e contenere i consumi;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
64;Adottare, sia all'interno delle aule che all'esterno del complesso scolastico, tonalità di colore adeguate al contesto;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;Ottimizzazione delle prestazioni energetiche annue, con la contestuale minimizzazione dei fabbisogni energetici del complesso scolastico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
66;Garantire la riduzione dell'inquinamento indoor e la tutela della salubrità scongiurando la presenza di materiali nocivi, la presenza di VOC, formaldeide, radon;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
67;Garantire un'adeguata ventilazione e qualità dell'aria, monitorandone la portata di rinnovo al fine di garantire un tasso di rinnovo aria adeguato, mantenendo un elevato grado di salubrità dell'aria, minimizzando i consumi energetici per la climatizzazione e favorendo il benessere degli occupanti;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
68;Progettare l'edificio in modo da minimizzare la sua impronta per limitare la distruzione del sito e promuovere la biodiversità;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
69;Dotare l'area di attrezzature e di misure finalizzate all'utilizzo di mezzi di trasporto alternativi e che limitino l’uso di veicoli occupati da singoli individui al fine di ridurre l'inquinamento da traffico automobilistico;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
70;Minimizzare le dispersioni luminose generate dall’edificio e dal sito e ridurre l’impatto negativo indotto dall’illuminazione dell’edificio durante il periodo notturno;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
71;Garantire il controllo delle acque meteoriche, limitare le alterazioni della dinamica naturale del ciclo idrologico mediante la riduzione delle superfici di copertura impermeabili favorendo le infiltrazioni in situ e tutelando la permeabilità del suolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
72;Garantire la riduzione dell'energia primaria non rinnovabile richiesta durante il ciclo di vita dell'edificio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;Mirare all'ottimizzazione delle prestazioni energetiche annue e al raggiungimento di un fabbisogno energetico molto basso o quasi nullo come previsto dalla definizione di edificio a energia quasi zero;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
74;Scelte costruttive come i tetti verdi, politiche e gestione sostenibili dell edificio come la raccolta e il riciclo di acque meteoriche, la raccolta differenziata dei rifiuti riciclabili la produzione in situ di energia da fonti rinnovabili, oltre agli strumenti domotici di controllo dei consumi che possono essere utilizzati per integrare lezioni e dimostrare il loro funzionamento possono diventare esempi concreti per educare gli studenti stessi alla sostenibilità;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;L’illuminazione degli ambienti seguirà i criteri funzionali ed estetici della visibilità ottimale e della gradevolezza, nella convinzione che la luce e i colori influenzano lo sviluppo intellettuale dei nostri bambini e ragazzi;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;Soffitti alti, grandi finestrature, arredi lungo le pareti, personalizzazione dei posti consentiranno diversi livelli di vicinanza tra studenti, adeguati alle sensibilità individuali, secondo una logica della spazialità rassicurante, tutta tesa a favorire il rendimento scolastico dei ragazzi;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
77;Negli ambienti interni delle nostre scuole la disposizione dei banchi sarà circolare, nella consapevolezza che un tale posizionamento porta ad orizzontalizzare i rapporti tra gli studenti e promuove lo spirito di collaborazione, facilitando la risoluzione delle controversie, democratizzando le decisioni del gruppo;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
78;Le pareti dovranno garantire la possibilità di poter personalizzare gli ambienti con diverse funzioni e diverse tipologie di utenza;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;Gli spazi esterni rivestono un prezioso ruolo di carattere didattico, nel segno di un’attività scolastica sperimentale, proiettata verso le attività di apprendimento all’aperto e disposta a ridurre, in ultima analisi, le ore trascorse nelle aule tradizionali;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
80;La soluzione architettonica individuata dovrà tenere conto di: Armonia dell’edificio con l’ambiente esterno;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;La soluzione architettonica individuata dovrà tenere conto di: Facilità di accesso all’area Immediata identificabilità delle funzioni e dei percorsi Abbattimento delle barriere architettoniche;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
82;La scuola è pensata come integrazione di spazi flessibili, che si piegano all’interpretazione e alle esigenze dei bambini e delle loro insegnanti al fine di promuovere in essi, un maggiore senso di appartenenza ai luoghi;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
83;L'aula dovrà essere dotata di tavoli e sedie per il lavoro individuale e di gruppo;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
84;Nell'aula dovranno essere presenti una LIM, per favorire la realizzazione di una didattica che fa tesoro delle opportunità fornite dalla multimedialità;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
85;Lo spazio a cielo aperto pertanto si configura non solo come luogo e momento ricreativo ma come un luogo di estensione e diffusione dell’attività didattica;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
86;Le aule si configureranno come degli ambienti confortevoli e ‘personalizzabili’, dotati di pareti e pavimenti stimolanti;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;Le aule si configureranno come degli ambienti con un elevato livello di flessibilità dato sia dalla presenza di arredi modulari che dall’elevata articolazione di essi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
88;Lo spazio esterno che circonda la scuola consentendone l’accesso da parte della comunità scolastica e non è anch’esso prolungamento ed estensione dell’ambiente dell’apprendimento;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
89;Necessità di poter esperire un’attività didattica innovativa tecnologica e laboratoriale insieme;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
90;Le aule dovranno presentare un elevato livello di ‘componibilità’ così da favorire allestimenti plurimi adeguati alle diverse fasi operative che, coerentemente con gli obiettivi di apprendimento individuati, rimandano a un’attività didattica collettiva, diversamente partecipata da parte degli studenti alcuni possono lavorare in piccolo gruppo, altri in coppia, altri ancora singolarmente, occupandosi di questioni e o lavori differenti e dell’insegnante che ora espone e spiega, ora sostiene e facilita, ora ascolta ed osserva;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
91;Gli arredi devono consentire una molteplicità di configurazioni ed essere dotati dei materiali e degli strumenti che l’insegnamento di una specifica disciplina richiede, di dispositivi tecnologici sia per la fruizione individuale tablet, sia per quella collettiva  una LIM in ogni aula e consentire un’agile personalizzazione dell’aula;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
92;Naturalmente diviene importante per gli studenti potersi spostare e muoversi nella propria scuola in totale autonomia e sicurezza;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
93;Chiave di questo progetto è la dotazione informatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
94;L’idea è quella di portare l’informatica nelle classi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
95;Si rende necessaria una rete dedicata e sufficiente dimensionata per garantire l’uso delle lavagne interattive multimediali LIM, dei pc internamente alle classi ed ai laboratori e per la connessione dei tablet che saranno in uso ai bambini, le bambine e gli insegnanti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
96;L’uso delle fonti di energia rinnovabili, oltre a rispondere all’obbligo normativo, ha in sé un importante valore didattico;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;La realizzazione di corpi aggiuntivi o nuovi, qualora necessari per l’espletamento delle attività didattiche o per esigenze funzionali al collegamento degli edifici e dovranno essere inseriti nel contesto architettonico degli edifici esistenti o del contesto urbanistico;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;In funzione della necessità di consentire un utilizzo flessibile degli spazi dell’edifico scolastico, si prevede la necessità di garantire accessi autonomi e indipendenti almeno agli spazi per le attività integrative e parascolastiche ed alla mensa;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
99;Fondamentale appare la necessità di rendere autonomi gli spazi deputati ad ospitare le diverse funzioni scolastiche: laboratori didattici ed aule dovranno essere utilizzati al di fuori dell’orario scolastico da parte della comunità territoriali, grazie alla progettazione di accessi indipendenti rispetto a quelli della scuola;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
100;Il cambiamento della spazialità didattica deve orientarsi verso il valore della duttilità, al fine di favorire una didattica inclusiva, caratterizzata dalla crescente importanza della tecnologia;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
101;Le aule potranno essere personalizzate dal docente, a seconda della materia insegnata , divenendo laboratorio attivo di ricerca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
102;In questa via gli arredi si combineranno ai moderni device tecnologici per una didattica basata sul learning by doing;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
103;Gli spazi didattici dovranno essere essere idonei allo svolgimento di diverse attività ed adeguarsi alla possibilità di variazioni degli arredi e delle attrezzature consentire lo svolgimento sia delle attività individuali, sia delle attività di gruppo; essere integrati sia spazialmente, sia visivamente con gli altri ambienti della scuola;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
104;Gli spazi per le aule dovranno essere progettati secondo i principi della massima flessibilità;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
105;Si intende progettare una scuola come riferimento per la comunità, come centro d’incontro e collaborazione con le realtà del territorio, in una prospettiva che parte dal locale per arrivare al globale;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;La scuola apparirà come un laboratorio permanente di ricerca configurandosi come spazio privilegiato di aggregazione culturale e relazionale per il territorio, nell’ambito di un processo continuo di proficuo e reciproco scambio;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;La scuola diverrà nel territorio un polo di formazione e di innovazione per la valorizzazione del territorio stesso nel suo patrimonio artigianale, storico-archeologico e culturale significa creare opportunità di crescita personale a vari livelli e svolgere un ruolo attivo nel processo di promozione e gestione del territorio;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;Scuola come un moderno centro civico proponendosi come centro culturale al quale sarà riconosciuto quel ruolo di polo di aggregazione sociale che oltrepassa la dimensione dell’offerta formativa in senso stretto;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;Dovranno essere individuati spazi comuni vivibili dall’intera comunità scolastica, e che contemporaneamente possano essere condivisi ad eventi aperti al territorio;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
110;La flessibilità dell’ambiente diventa una scelta obbligata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
111;Il progetto nasce dall’esigenza di creare uno spazio per l’apprendimento, che coniughi la più alta innovazione tecnologica per la didattica con la metodologia collaborativa e laboratoriale, dove venga messo in risalto il lavoro del singolo e la collaborazione con gli altri allievi ed il docente;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
112;Un’aula che, attraverso l’evoluzione dei suoi spazi, viene ripensata con un’architettura in grado di sfruttare a pieno le potenzialità comunicative, didattiche e sociali offerte dall’innovazione tecnologica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
113;I nuovi spazi per la didattica sono sufficientemente flessibili da consentire anche lo svolgimento di attività diversificate, rivolte più classi, gruppi di classi, un setting d’aula variabile e coerente con le diverse fasi dell’attività didattica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
114;L’aula inoltre permetterà ai docenti e soprattutto agli allievi di: apprendere attraverso modalità didattiche mediate dalle ICT; permettere lo sviluppo di una didattica diversificata e collaborativa di classe;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
115;Con il potenziamento del tempo scuola l’aula diventa uno spazio flessibile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
116;Le aule canoniche devono avere quel giusto grado di flessibilità affinchè si possa variare agevolmente la dimensione e la combinazione degli arredi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
117;L’informatica deve entrare a far parte degli spazi condivisi e dei laboratori, che saranno attrezzati oltre alle LIM di dotazioni informatiche diffuse come tablet e una rete wireless altamente efficiente;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
118;Nuovi spazi dotati di una maggiore flessibilità d’uso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
119;I nuovi ambienti dovranno essere ampi, flessibili ed eventualmente suddivisibili in sotto ambiti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
120;La scuola deve essere concepita come un community center, vale a dire come centro civico aperto alla comunità, anche durante le ore serali e nei fine settimana;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
121;La scuola deve puntare a diventare un centro polifunzionale;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;La scuola come un luogo di grande forza espressiva, propositivo e aperto alla comunità;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;Migliorare il mobile learning, rendendolo sicuro e tale da offrire il massimo della flessibilità, consentendo l’accesso alla rete da tutte le aree della scuola e dei laboratori;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
124;Riduzione dell'inquinamento indoor e tutela della salubrità dell'aria scongiurando la presenza di materiali nocivi, la presenza di VOC, formaldeide e radon;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
